Gemnr,Gemeente,Aantal,BevAant,GemiddeldOverBev
518,'s-Gravenhage,7,537833,1.3
796,'s-Hertogenbosch,8,154205,5.2
1680,Aa en Hunze,0,25386,0
358,Aalsmeer,2,31728,6.3
197,Aalten,0,27011,0
59,Achtkarspelen,0,27852,0
482,Alblasserdam,0,20069,0
613,Albrandswaard,1,25271,4
361,Alkmaar,1,108558,0.9
141,Almelo,1,72849,1.4
34,Almere,1,207904,0.5
484,Alphen aan den Rijn,3,110986,2.7
1723,Alphen-Chaam,0,10149,0
1959,Altena,5,55386,9
60,Ameland,0,3673,0
307,Amersfoort,4,156286,2.6
362,Amstelveen,2,90838,2.2
363,Amsterdam,11,862965,1.3
200,Apeldoorn,2,162445,1.2
3,Appingedam,0,11721,0
202,Arnhem,4,159265,2.5
106,Assen,0,67963,0
743,Asten,0,16710,0
744,Baarle-Nassau,0,6847,0
308,Baarn,0,24767,0
489,Barendrecht,1,48673,2.1
203,Barneveld,0,57971,0
888,Beek,0,15929,0
1954,Beekdaelen,8,35727,22.4
370,Beemster,0,9748,0
889,Beesel,0,13519,0
1945,Berg en Dal,3,34798,8.6
1724,Bergeijk,1,18491,5.4
893,Bergen (L),0,13140,0
373,Bergen (NH),0,29974,0
748,Bergen op Zoom,1,66811,1.5
1859,Berkelland,0,43904,0
1721,Bernheze,4,30806,13
753,Best,3,29821,10.1
209,Beuningen,3,25882,11.6
375,Beverwijk,5,41176,12.1
1728,Bladel,0,20175,0
376,Blaricum,1,11202,8.9
377,Bloemendaal,1,23410,4.3
1901,Bodegraven-Reeuwijk,1,34462,2.9
755,Boekel,8,10588,75.6
1681,Borger-Odoorn,0,25372,0
147,Borne,2,23210,8.6
654,Borsele,1,22800,4.4
756,Boxmeer,0,29065,0
757,Boxtel,1,30747,3.3
758,Breda,42,183873,22.8
501,Brielle,0,17182,0
1876,Bronckhorst,2,36212,5.5
213,Brummen,0,20698,0
899,Brunssum,0,28103,0
312,Bunnik,0,15192,0
313,Bunschoten,0,21576,0
214,Buren,1,26568,3.8
