Gemnr;Gemeente;Aantal;BevAant;GemiddeldOverBev
518;s-Gravenhage;2;537833;0.4
796;s-Hertogenbosch;3;154205;1.9
1680;Aa en Hunze;0;25386;0
358;Aalsmeer;0;31728;0
197;Aalten;0;27011;0
59;Achtkarspelen;0;27852;0
482;Alblasserdam;0;20069;0
613;Albrandswaard;1;25271;4
361;Alkmaar;0;108558;0
141;Almelo;1;72849;1.4
34;Almere;1;207904;0.5
484;Alphen aan den Rijn;1;110986;0.9
1723;Alphen-Chaam;0;10149;0
1959;Altena;4;55386;7.2
60;Ameland;0;3673;0
307;Amersfoort;0;156286;0
362;Amstelveen;2;90838;2.2
363;Amsterdam;6;862965;0.7
200;Apeldoorn;0;162445;0
3;Appingedam;0;11721;0
202;Arnhem;2;159265;1.3
106;Assen;0;67963;0
743;Asten;0;16710;0
744;Baarle-Nassau;0;6847;0
308;Baarn;0;24767;0
489;Barendrecht;0;48673;0
203;Barneveld;0;57971;0
888;Beek;0;15929;0
1954;Beekdaelen;4;35727;11.2
370;Beemster;0;9748;0
889;Beesel;0;13519;0
1945;Berg en Dal;0;34798;0
1724;Bergeijk;0;18491;0
893;Bergen (L);0;13140;0
373;Bergen (NH);0;29974;0
748;Bergen op Zoom;1;66811;1.5
1859;Berkelland;0;43904;0
1721;Bernheze;2;30806;6.5
753;Best;2;29821;6.7
209;Beuningen;3;25882;11.6
375;Beverwijk;4;41176;9.7
1728;Bladel;0;20175;0
376;Blaricum;1;11202;8.9
377;Bloemendaal;1;23410;4.3
1901;Bodegraven-Reeuwijk;0;34462;0
755;Boekel;1;10588;9.4
1681;Borger-Odoorn;0;25372;0
147;Borne;4;23210;17.2
654;Borsele;0;22800;0
756;Boxmeer;0;29065;0
757;Boxtel;0;30747;0
758;Breda;19;183873;10.3
501;Brielle;0;17182;0
1876;Bronckhorst;2;36212;5.5
213;Brummen;0;20698;0
899;Brunssum;0;28103;0
312;Bunnik;0;15192;0
313;Bunschoten;0;21576;0
214;Buren;0;26568;0
502;Capelle aan den IJssel;0;66818;0
383;Castricum;0;35772;0
109;Coevorden;9;35483;25.4
1706;Cranendonck;0;20440;0
1684;Cuijk;0;24931;0
216;Culemborg;1;28555;3.5
148;Dalfsen;0;28499;0
1891;Dantumadiel;0;18923;0
310;De Bilt;6;42824;14
1940;De Fryske Marren;0;51430;0
736;De Ronde Venen;0;44059;0
1690;De Wolden;0;24110;0
503;Delft;1;103163;1
10;Delfzijl;0;24716;0
400;Den Helder;0;55604;0
762;Deurne;1;32362;3.1
150;Deventer;0;99957;0
384;Diemen;2;29196;6.9
1774;Dinkelland;2;26350;7.6
221;Doesburg;0;11148;0
222;Doetinchem;0;57555;0
766;Dongen;3;26051;11.5
505;Dordrecht;0;118654;0
498;Drechterland;0;19597;0
1719;Drimmelen;0;27150;0
303;Dronten;0;40815;0
225;Druten;0;18797;0
226;Duiven;0;25332;0
1711;Echt-Susteren;0;31638;0
385;Edam-Volendam;0;36099;0
228;Ede;0;115710;0
317;Eemnes;0;9113;0
770;Eersel;0;19110;0
1903;Eijsden-Margraten;0;25658;0
772;Eindhoven;7;231642;3
230;Elburg;0;23086;0
114;Emmen;1;107113;0.9
388;Enkhuizen;0;18507;0
153;Enschede;0;158986;0
232;Epe;0;33145;0
233;Ermelo;1;26858;3.7
777;Etten-Leur;1;43774;2.3
779;Geertruidenberg;0;21515;0
1771;Geldrop-Mierlo;0;39595;0
1652;Gemert-Bakel;1;30447;3.3
907;Gennep;0;17071;0
784;Gilze en Rijen;0;26431;0
1924;Goeree-Overflakkee;0;49611;0
664;Goes;1;37653;2.7
785;Goirle;4;23793;16.8
1942;Gooise Meren;2;57715;3.5
512;Gorinchem;0;36682;0
513;Gouda;1;73181;1.4
786;Grave;0;12483;0
14;Groningen;0;231299;0
1729;Gulpen-Wittem;0;14246;0
158;Haaksbergen;0;24277;0
788;Haaren;2;14195;14.1
392;Haarlem;2;161265;1.2
394;Haarlemmermeer;0;154235;0
1655;Halderberge;0;30194;0
160;Hardenberg;0;60574;0
243;Harderwijk;1;47581;2.1
523;Hardinxveld-Giessendam;4;18051;22.2
72;Harlingen;0;15758;0
244;Hattem;0;12173;0
396;Heemskerk;0;39164;0
397;Heemstede;1;27286;3.7
246;Heerde;0;18546;0
74;Heerenveen;0;50257;0
398;Heerhugowaard;0;56742;0
917;Heerlen;0;86832;0
1658;Heeze-Leende;0;15964;0
399;Heiloo;0;23464;0
163;Hellendoorn;2;35808;5.6
530;Hellevoetsluis;0;40049;0
794;Helmond;7;91524;7.6
531;Hendrik-Ido-Ambacht;0;30966;0
164;Hengelo (O);0;80683;0
1966;Het Hogeland;0;47888;0
252;Heumen;0;16486;0
797;Heusden;1;44135;2.3
534;Hillegom;0;21966;0
798;Hilvarenbeek;0;15334;0
402;Hilversum;0;90238;0
1963;Hoeksche Waard;2;86656;2.3
1735;Hof van Twente;0;34940;0
1911;Hollands Kroon;0;47815;0
118;Hoogeveen;0;55662;0
405;Hoorn;0;73004;0
1507;Horst aan de Maas;0;42291;0
321;Houten;13;49911;26
406;Huizen;1;41273;2.4
677;Hulst;0;27524;0
353;IJsselstein;1;34160;2.9
1884;Kaag en Braassem;0;26866;0
166;Kampen;0;53779;0
678;Kapelle;0;12785;0
537;Katwijk;0;65302;0
928;Kerkrade;0;45642;0
1598;Koggenland;0;22738;0
542;Krimpen aan den IJssel;0;29376;0
1931;Krimpenerwaard;1;56048;1.8
1659;Laarbeek;0;22333;0
1685;Landerd;2;15529;12.9
882;Landgraaf;0;37591;0
415;Landsmeer;1;11488;8.7
416;Langedijk;0;27992;0
1621;Lansingerland;3;61601;4.9
417;Laren;0;11195;0
80;Leeuwarden;0;123107;0
546;Leiden;0;124899;0
547;Leiderdorp;0;27109;0
1916;Leidschendam-Voorburg;1;75425;1.3
995;Lelystad;0;77893;0
1640;Leudal;1;35681;2.8
327;Leusden;0;30030;0
1705;Lingewaard;2;46475;4.3
553;Lisse;0;22800;0
262;Lochem;0;33590;0
809;Loon op Zand;7;23327;30
331;Lopik;0;14473;0
24;Loppersum;0;9614;0
168;Losser;0;22622;0
263;Maasdriel;1;24693;4
1641;Maasgouw;0;23716;0
556;Maassluis;0;32768;0
935;Maastricht;6;121565;4.9
420;Medemblik;0;44809;0
938;Meerssen;0;18923;0
1948;Meierijstad;10;80815;12.4
119;Meppel;0;33564;0
687;Middelburg;0;48544;0
1842;Midden-Delfland;0;19391;0
1731;Midden-Drenthe;0;33178;0
1952;Midden-Groningen;0;60899;0
815;Mill en Sint Hubert;0;10891;0
1709;Moerdijk;0;36961;0
1978;Molenlanden;0;43858;0
1955;Montferland;0;36026;0
335;Montfoort;0;13996;0
944;Mook en Middelaar;0;7806;0
1740;Neder-Betuwe;1;24034;4.2
946;Nederweert;0;17001;0
356;Nieuwegein;0;63036;0
569;Nieuwkoop;0;28628;0
267;Nijkerk;0;42943;0
268;Nijmegen;3;176731;1.7
1930;Nissewaard;0;84797;0
1970;Noardeast-Fryslân;0;45181;0
1695;Noord-Beveland;0;7308;0
1699;Noordenveld;0;31290;0
171;Noordoostpolder;0;46849;0
575;Noordwijk;2;42859;4.7
820;Nuenen Gerwen en Nederwetten;1;23186;4.3
302;Nunspeet;1;27481;3.6
579;Oegstgeest;1;24426;4.1
823;Oirschot;0;18623;0
824;Oisterwijk;3;26140;11.5
1895;Oldambt;0;38129;0
269;Oldebroek;0;23598;0
173;Oldenzaal;0;31840;0
1773;Olst-Wijhe;0;18071;0
175;Ommen;0;17813;0
-1;Onbekend;0;0;0
1586;Oost Gelre;0;29704;0
826;Oosterhout;1;55616;1.8
85;Ooststellingwerf;0;25497;0
431;Oostzaan;0;9757;0
432;Opmeer;0;11779;0
86;Opsterland;0;29723;0
828;Oss;1;91451;1.1
1509;Oude IJsselstreek;0;39473;0
437;Ouder-Amstel;0;13916;0
589;Oudewater;0;10201;0
1734;Overbetuwe;0;47543;0
590;Papendrecht;0;32290;0
1894;Peel en Maas;1;43311;2.3
765;Pekela;0;12214;0
1926;Pijnacker-Nootdorp;2;54331;3.7
439;Purmerend;0;80117;0
273;Putten;0;24198;0
177;Raalte;0;37511;0
703;Reimerswaal;0;22678;0
274;Renkum;5;31302;16
339;Renswoude;0;5259;0
1667;Reusel-De Mierden;0;13060;0
275;Rheden;0;43640;0
340;Rhenen;1;20004;5
597;Ridderkerk;1;46241;2.2
1742;Rijssen-Holten;0;38300;0
603;Rijswijk;0;53467;0
1669;Roerdalen;0;20615;0
957;Roermond;1;58209;1.7
1674;Roosendaal;0;77032;0
599;Rotterdam;14;644618;2.2
277;Rozendaal;0;1654;0
840;Rucphen;0;22572;0
441;Schagen;0;46553;0
279;Scherpenzeel;0;9873;0
606;Schiedam;0;77999;0
88;Schiermonnikoog;0;936;0
1676;Schouwen-Duiveland;2;33779;5.9
965;Simpelveld;2;10516;19
1702;Sint Anthonis;0;11606;0
845;Sint-Michielsgestel;5;28991;17.2
1883;Sittard-Geleen;8;92661;8.6
610;Sliedrecht;0;25026;0
1714;Sluis;0;23386;0
90;Smallingerland;0;55938;0
342;Soest;7;46194;15.2
847;Someren;0;19322;0
848;Son en Breugel;0;16904;0
37;Stadskanaal;0;31789;0
180;Staphorst;0;17003;0
532;Stede Broec;0;21706;0
851;Steenbergen;0;25054;0
1708;Steenwijkerland;0;43940;0
971;Stein;0;24961;0
1904;Stichtse Vecht;5;64336;7.8
1900;Súdwest-Fryslân;0;89710;0
715;Terneuzen;0;54589;0
93;Terschelling;0;4890;0
448;Texel;0;13547;0
1525;Teylingen;0;37061;0
716;Tholen;0;25780;0
281;Tiel;1;41978;2.4
855;Tilburg;27;217259;12.4
183;Tubbergen;1;21276;4.7
1700;Twenterand;0;33792;0
1730;Tynaarlo;0;33698;0
737;Tytsjerksteradiel;0;31780;0
856;Uden;12;41782;28.7
450;Uitgeest;0;13528;0
451;Uithoorn;0;29424;0
184;Urk;0;20776;0
344;Utrecht;13;352866;3.7
1581;Utrechtse Heuvelrug;2;49515;4
981;Vaals;0;10092;0
994;Valkenburg aan de Geul;0;16470;0
858;Valkenswaard;0;30910;0
47;Veendam;0;27491;0
345;Veenendaal;0;65589;0
717;Veere;0;21835;0
861;Veldhoven;1;45337;2.2
453;Velsen;0;68348;0
983;Venlo;1;101603;1
984;Venray;0;43326;0
1961;Vijfheerenlanden;1;55712;1.8
622;Vlaardingen;0;72404;0
96;Vlieland;0;1138;0
718;Vlissingen;0;44371;0
986;Voerendaal;0;12452;0
626;Voorschoten;0;25479;0
285;Voorst;1;24417;4.1
865;Vught;1;26396;3.8
1949;Waadhoeke;0;46039;0
866;Waalre;1;17247;5.8
867;Waalwijk;5;48240;10.4
627;Waddinxveen;0;28316;0
289;Wageningen;0;38774;0
629;Wassenaar;0;26211;0
852;Waterland;1;17315;5.8
988;Weert;0;49842;0
457;Weesp;0;19334;0
1960;West Betuwe;2;50697;3.9
668;West Maas en Waal;1;19076;5.2
1969;Westerkwartier;0;63031;0
1701;Westerveld;0;19348;0
293;Westervoort;0;14944;0
1950;Westerwolde;0;25199;0
1783;Westland;0;108603;0
98;Weststellingwerf;0;25840;0
614;Westvoorne;1;14626;6.8
189;Wierden;0;24351;0
296;Wijchen;1;40951;2.4
1696;Wijdemeren;0;24013;0
352;Wijk bij Duurstede;1;23762;4.2
294;Winterswijk;0;28903;0
873;Woensdrecht;0;21866;0
632;Woerden;2;52197;3.8
880;Wormerland;0;16329;0
351;Woudenberg;0;13166;0
479;Zaanstad;2;155885;1.3
297;Zaltbommel;1;28451;3.5
473;Zandvoort;0;17011;0
50;Zeewolde;1;22309;4.5
355;Zeist;1;63934;1.6
299;Zevenaar;0;43488;0
637;Zoetermeer;0;124944;0
638;Zoeterwoude;0;8450;0
1892;Zuidplas;0;42762;0
879;Zundert;1;21612;4.6
301;Zutphen;0;47609;0
1896;Zwartewaterland;0;22503;0
642;Zwijndrecht;0;44639;0
193;Zwolle;1;127497;0.8
